Encryption alg, Msg size, Key size, real, user, sys
camellia-128-ecb, 1M, 1K, 0.00, 0.00, 0.00
camellia-192-cbc, 1M, 1K, 0.01, 0.00, 0.00
camellia-192-ecb, 1M, 1K, 0.01, 0.00, 0.00
camellia-256-cbc, 1M, 1K, 0.01, 0.00, 0.00
camellia-256-ecb, 1M, 1K, 0.00, 0.00, 0.00
cast, 1M, 1K, 0.01, 0.01, 0.00
cast-cbc, 1M, 1K, 0.01, 0.01, 0.00
cast5-cbc, 1M, 1K, 0.01, 0.00, 0.00
cast5-cfb, 1M, 1K, 0.01, 0.01, 0.00
cast5-ecb, 1M, 1K, 0.01, 0.00, 0.00
cast5-ofb, 1M, 1K, 0.01, 0.01, 0.00
des, 1M, 1K, 0.01, 0.01, 0.00
des-cbc, 1M, 1K, 0.01, 0.01, 0.00
des-cfb, 1M, 1K, 0.02, 0.01, 0.00
des-ecb, 1M, 1K, 0.01, 0.01, 0.00
des-ede, 1M, 1K, 0.03, 0.02, 0.00
des-ede-cbc, 1M, 1K, 0.03, 0.03, 0.00
des-ede-cfb, 1M, 1K, 0.04, 0.03, 0.00
des-ede-ofb, 1M, 1K, 0.04, 0.03, 0.00
des-ede3, 1M, 1K, 0.03, 0.03, 0.00
des-ede3-cbc, 1M, 1K, 0.03, 0.03, 0.00
des-ede3-cfb, 1M, 1K, 0.04, 0.03, 0.00
des-ede3-ofb, 1M, 1K, 0.03, 0.03, 0.00
des-ofb, 1M, 1K, 0.01, 0.01, 0.00
des3, 1M, 1K, 0.04, 0.03, 0.00
desx, 1M, 1K, 0.02, 0.01, 0.00
rc2, 1M, 1K, 0.02, 0.02, 0.00
rc2-40-cbc, 1M, 1K, 0.02, 0.02, 0.00
rc2-64-cbc, 1M, 1K, 0.02, 0.02, 0.00
rc2-cbc, 1M, 1K, 0.02, 0.01, 0.00
rc2-cfb, 1M, 1K, 0.02, 0.01, 0.00
rc2-ecb, 1M, 1K, 0.02, 0.01, 0.00
rc2-ofb, 1M, 1K, 0.03, 0.02, 0.00
rc4, 1M, 1K, 0.00, 0.00, 0.00
rc4-40, 1M, 1K, 0.00, 0.00, 0.00
seed, 1M, 1K, 0.01, 0.00, 0.00
seed-cbc, 1M, 1K, 0.01, 0.00, 0.00
seed-cfb, 1M, 1K, 0.01, 0.01, 0.00
seed-ecb, 1M, 1K, 0.01, 0.01, 0.00
seed-ofb, 1M, 1K, 0.01, 0.00, 0.00
sm4-cbc, 1M, 1K, 0.01, 0.01, 0.00
sm4-cfb, 1M, 1K, 0.01, 0.01, 0.00
sm4-ctr, 1M, 1K, 0.01, 0.01, 0.00
sm4-ecb, 1M, 1K, 0.01, 0.01, 0.00
sm4-ofb, 1M, 1K, 0.01, 0.01, 0.00
aes-128-cbc, 1M, 1M, 0.00, 0.00, 0.00
aes-128-ecb, 1M, 1M, 0.00, 0.00, 0.00
aes-192-cbc, 1M, 1M, 0.00, 0.00, 0.00
aes-192-ecb, 1M, 1M, 0.00, 0.00, 0.00
aes-256-cbc, 1M, 1M, 0.00, 0.00, 0.00
aes-256-ecb, 1M, 1M, 0.01, 0.00, 0.00
aria-128-cbc, 1M, 1M, 0.01, 0.01, 0.00
aria-128-cfb, 1M, 1M, 0.01, 0.00, 0.00
aria-128-cfb1, 1M, 1M, 0.89, 0.87, 0.01
aria-128-cfb8, 1M, 1M, 0.10, 0.10, 0.00
aria-128-ctr, 1M, 1M, 0.00, 0.00, 0.00
aria-128-ecb, 1M, 1M, 0.00, 0.00, 0.00
aria-128-ofb, 1M, 1M, 0.01, 0.00, 0.00
aria-192-cbc, 1M, 1M, 0.01, 0.01, 0.00
aria-192-cfb, 1M, 1M, 0.01, 0.00, 0.00
aria-192-cfb1, 1M, 1M, 1.00, 0.98, 0.01
aria-192-cfb8, 1M, 1M, 0.12, 0.11, 0.00
aria-192-ctr, 1M, 1M, 0.01, 0.00, 0.00
aria-192-ecb, 1M, 1M, 0.01, 0.01, 0.00
aria-192-ofb, 1M, 1M, 0.01, 0.00, 0.00
aria-256-cbc, 1M, 1M, 0.01, 0.01, 0.00
aria-256-cfb, 1M, 1M, 0.01, 0.01, 0.00
aria-256-cfb1, 1M, 1M, 1.12, 1.11, 0.00
aria-256-cfb8, 1M, 1M, 0.13, 0.12, 0.00
aria-256-ctr, 1M, 1M, 0.01, 0.01, 0.00
aria-256-ecb, 1M, 1M, 0.01, 0.00, 0.00
aria-256-ofb, 1M, 1M, 0.01, 0.00, 0.00
base64, 1M, 1M, 0.00, 0.00, 0.00
bf, 1M, 1M, 0.01, 0.00, 0.00
bf-cbc, 1M, 1M, 0.00, 0.00, 0.00
bf-cfb, 1M, 1M, 0.01, 0.01, 0.00
bf-ecb, 1M, 1M, 0.01, 0.00, 0.00
bf-ofb, 1M, 1M, 0.00, 0.00, 0.00
camellia-128-cbc, 1M, 1M, 0.00, 0.00, 0.00
camellia-128-ecb, 1M, 1M, 0.00, 0.00, 0.00
camellia-192-cbc, 1M, 1M, 0.01, 0.00, 0.00
camellia-192-ecb, 1M, 1M, 0.01, 0.00, 0.00
camellia-256-cbc, 1M, 1M, 0.01, 0.00, 0.00
camellia-256-ecb, 1M, 1M, 0.00, 0.00, 0.00
cast, 1M, 1M, 0.01, 0.00, 0.00
cast-cbc, 1M, 1M, 0.01, 0.01, 0.00
cast5-cbc, 1M, 1M, 0.01, 0.00, 0.00
cast5-cfb, 1M, 1M, 0.01, 0.01, 0.00
cast5-ecb, 1M, 1M, 0.01, 0.00, 0.00
cast5-ofb, 1M, 1M, 0.01, 0.01, 0.00
des, 1M, 1M, 0.02, 0.00, 0.00
des-cbc, 1M, 1M, 0.01, 0.01, 0.00
des-cfb, 1M, 1M, 0.02, 0.01, 0.00
des-ecb, 1M, 1M, 0.01, 0.01, 0.00
des-ede, 1M, 1M, 0.03, 0.03, 0.00
des-ede-cbc, 1M, 1M, 0.03, 0.03, 0.00
des-ede-cfb, 1M, 1M, 0.04, 0.03, 0.00
des-ede-ofb, 1M, 1M, 0.04, 0.03, 0.00
des-ede3, 1M, 1M, 0.03, 0.03, 0.00
des-ede3-cbc, 1M, 1M, 0.03, 0.03, 0.00
des-ede3-cfb, 1M, 1M, 0.04, 0.03, 0.00
des-ede3-ofb, 1M, 1M, 0.03, 0.03, 0.00
des-ofb, 1M, 1M, 0.02, 0.01, 0.00
des3, 1M, 1M, 0.03, 0.02, 0.00
desx, 1M, 1M, 0.01, 0.01, 0.00
rc2, 1M, 1M, 0.02, 0.01, 0.00
rc2-40-cbc, 1M, 1M, 0.02, 0.02, 0.00
rc2-64-cbc, 1M, 1M, 0.02, 0.02, 0.00
rc2-cbc, 1M, 1M, 0.02, 0.01, 0.00
rc2-cfb, 1M, 1M, 0.02, 0.02, 0.00
rc2-ecb, 1M, 1M, 0.02, 0.01, 0.00
rc2-ofb, 1M, 1M, 0.02, 0.01, 0.00
rc4, 1M, 1M, 0.00, 0.00, 0.00
rc4-40, 1M, 1M, 0.00, 0.00, 0.00
seed, 1M, 1M, 0.01, 0.01, 0.00
seed-cbc, 1M, 1M, 0.01, 0.00, 0.00
seed-cfb, 1M, 1M, 0.01, 0.01, 0.00
seed-ecb, 1M, 1M, 0.01, 0.01, 0.00
seed-ofb, 1M, 1M, 0.01, 0.01, 0.00
sm4-cbc, 1M, 1M, 0.01, 0.00, 0.00
sm4-cfb, 1M, 1M, 0.01, 0.01, 0.00
sm4-ctr, 1M, 1M, 0.01, 0.01, 0.00
sm4-ecb, 1M, 1M, 0.00, 0.00, 0.00
sm4-ofb, 1M, 1M, 0.01, 0.00, 0.00
aes-128-cbc, 1M, 10M, 0.00, 0.00, 0.00
aes-128-ecb, 1M, 10M, 0.00, 0.00, 0.00
aes-192-cbc, 1M, 10M, 0.00, 0.00, 0.00
aes-192-ecb, 1M, 10M, 0.00, 0.00, 0.00
aes-256-cbc, 1M, 10M, 0.00, 0.00, 0.00
aes-256-ecb, 1M, 10M, 0.00, 0.00, 0.00
aria-128-cbc, 1M, 10M, 0.00, 0.00, 0.00
aria-128-cfb, 1M, 10M, 0.01, 0.00, 0.00
aria-128-cfb1, 1M, 10M, 0.89, 0.88, 0.00
aria-128-cfb8, 1M, 10M, 0.11, 0.10, 0.00
aria-128-ctr, 1M, 10M, 0.00, 0.00, 0.00
aria-128-ecb, 1M, 10M, 0.01, 0.00, 0.00
aria-128-ofb, 1M, 10M, 0.00, 0.00, 0.00
aria-192-cbc, 1M, 10M, 0.01, 0.00, 0.00
aria-192-cfb, 1M, 10M, 0.01, 0.01, 0.00
aria-192-cfb1, 1M, 10M, 1.00, 0.98, 0.01
aria-192-cfb8, 1M, 10M, 0.12, 0.11, 0.00
aria-192-ctr, 1M, 10M, 0.01, 0.01, 0.00
aria-192-ecb, 1M, 10M, 0.01, 0.01, 0.00
aria-192-ofb, 1M, 10M, 0.01, 0.01, 0.00
aria-256-cbc, 1M, 10M, 0.01, 0.01, 0.00
aria-256-cfb, 1M, 10M, 0.01, 0.01, 0.00
aria-256-cfb1, 1M, 10M, 1.12, 1.10, 0.01
aria-256-cfb8, 1M, 10M, 0.13, 0.13, 0.00
aria-256-ctr, 1M, 10M, 0.01, 0.00, 0.00
aria-256-ecb, 1M, 10M, 0.01, 0.00, 0.00
aria-256-ofb, 1M, 10M, 0.01, 0.00, 0.00
base64, 1M, 10M, 0.00, 0.00, 0.00
bf, 1M, 10M, 0.01, 0.00, 0.00
bf-cbc, 1M, 10M, 0.01, 0.00, 0.00
bf-cfb, 1M, 10M, 0.01, 0.01, 0.00
bf-ecb, 1M, 10M, 0.01, 0.00, 0.00
bf-ofb, 1M, 10M, 0.00, 0.00, 0.00
camellia-128-cbc, 1M, 10M, 0.01, 0.00, 0.00
camellia-128-ecb, 1M, 10M, 0.00, 0.00, 0.00
camellia-192-cbc, 1M, 10M, 0.00, 0.00, 0.00
camellia-192-ecb, 1M, 10M, 0.00, 0.00, 0.00
camellia-256-cbc, 1M, 10M, 0.01, 0.00, 0.01
camellia-256-ecb, 1M, 10M, 0.01, 0.00, 0.00
cast, 1M, 10M, 0.01, 0.01, 0.00
cast-cbc, 1M, 10M, 0.01, 0.00, 0.00
cast5-cbc, 1M, 10M, 0.01, 0.00, 0.00
cast5-cfb, 1M, 10M, 0.01, 0.01, 0.00
cast5-ecb, 1M, 10M, 0.01, 0.01, 0.00
cast5-ofb, 1M, 10M, 0.01, 0.01, 0.00
des, 1M, 10M, 0.01, 0.01, 0.00
des-cbc, 1M, 10M, 0.01, 0.01, 0.00
des-cfb, 1M, 10M, 0.02, 0.01, 0.00
des-ecb, 1M, 10M, 0.01, 0.01, 0.00
des-ede, 1M, 10M, 0.04, 0.02, 0.00
des-ede-cbc, 1M, 10M, 0.03, 0.03, 0.00
des-ede-cfb, 1M, 10M, 0.03, 0.03, 0.00
des-ede-ofb, 1M, 10M, 0.04, 0.02, 0.00
des-ede3, 1M, 10M, 0.03, 0.03, 0.00
des-ede3-cbc, 1M, 10M, 0.03, 0.03, 0.00
des-ede3-cfb, 1M, 10M, 0.04, 0.03, 0.00
des-ede3-ofb, 1M, 10M, 0.04, 0.03, 0.00
des-ofb, 1M, 10M, 0.01, 0.01, 0.00
des3, 1M, 10M, 0.04, 0.03, 0.00
desx, 1M, 10M, 0.01, 0.01, 0.00
rc2, 1M, 10M, 0.02, 0.01, 0.00
rc2-40-cbc, 1M, 10M, 0.02, 0.01, 0.00
rc2-64-cbc, 1M, 10M, 0.02, 0.02, 0.00
rc2-cbc, 1M, 10M, 0.02, 0.02, 0.00
rc2-cfb, 1M, 10M, 0.02, 0.02, 0.00
rc2-ecb, 1M, 10M, 0.02, 0.02, 0.00
rc2-ofb, 1M, 10M, 0.02, 0.01, 0.00
rc4, 1M, 10M, 0.00, 0.00, 0.00
rc4-40, 1M, 10M, 0.00, 0.00, 0.00
seed, 1M, 10M, 0.01, 0.01, 0.00
seed-cbc, 1M, 10M, 0.01, 0.00, 0.00
seed-cfb, 1M, 10M, 0.01, 0.01, 0.00
seed-ecb, 1M, 10M, 0.01, 0.01, 0.00
seed-ofb, 1M, 10M, 0.01, 0.01, 0.00
sm4-cbc, 1M, 10M, 0.01, 0.01, 0.00
sm4-cfb, 1M, 10M, 0.01, 0.00, 0.00
sm4-ctr, 1M, 10M, 0.01, 0.00, 0.00
sm4-ecb, 1M, 10M, 0.01, 0.00, 0.00
sm4-ofb, 1M, 10M, 0.01, 0.00, 0.00
aes-128-cbc, 1M, 100M, 0.00, 0.00, 0.00
aes-128-ecb, 1M, 100M, 0.00, 0.00, 0.00
aes-192-cbc, 1M, 100M, 0.00, 0.00, 0.00
aes-192-ecb, 1M, 100M, 0.00, 0.00, 0.00
aes-256-cbc, 1M, 100M, 0.00, 0.00, 0.00
aes-256-ecb, 1M, 100M, 0.00, 0.00, 0.00
aria-128-cbc, 1M, 100M, 0.01, 0.01, 0.00
aria-128-cfb, 1M, 100M, 0.01, 0.01, 0.00
aria-128-cfb1, 1M, 100M, 0.89, 0.88, 0.00
aria-128-cfb8, 1M, 100M, 0.10, 0.09, 0.00
aria-128-ctr, 1M, 100M, 0.01, 0.00, 0.00
aria-128-ecb, 1M, 100M, 0.01, 0.00, 0.00
aria-128-ofb, 1M, 100M, 0.01, 0.00, 0.00
aria-192-cbc, 1M, 100M, 0.00, 0.00, 0.00
aria-192-cfb, 1M, 100M, 0.01, 0.00, 0.00
aria-192-cfb1, 1M, 100M, 0.99, 0.97, 0.01
aria-192-cfb8, 1M, 100M, 0.12, 0.11, 0.00
aria-192-ctr, 1M, 100M, 0.01, 0.01, 0.00
aria-192-ecb, 1M, 100M, 0.01, 0.00, 0.00
aria-192-ofb, 1M, 100M, 0.01, 0.01, 0.00
aria-256-cbc, 1M, 100M, 0.01, 0.00, 0.00
aria-256-cfb, 1M, 100M, 0.01, 0.00, 0.00
aria-256-cfb1, 1M, 100M, 1.11, 1.10, 0.00
aria-256-cfb8, 1M, 100M, 0.13, 0.12, 0.00
aria-256-ctr, 1M, 100M, 0.01, 0.00, 0.00
aria-256-ecb, 1M, 100M, 0.01, 0.00, 0.00
aria-256-ofb, 1M, 100M, 0.01, 0.00, 0.00
base64, 1M, 100M, 0.00, 0.00, 0.00
bf, 1M, 100M, 0.01, 0.00, 0.00
bf-cbc, 1M, 100M, 0.01, 0.01, 0.00
bf-cfb, 1M, 100M, 0.01, 0.01, 0.00
bf-ecb, 1M, 100M, 0.01, 0.00, 0.00
bf-ofb, 1M, 100M, 0.00, 0.00, 0.00
camellia-128-cbc, 1M, 100M, 0.00, 0.00, 0.00
camellia-128-ecb, 1M, 100M, 0.01, 0.00, 0.00
camellia-192-cbc, 1M, 100M, 0.00, 0.00, 0.00
camellia-192-ecb, 1M, 100M, 0.01, 0.00, 0.00
camellia-256-cbc, 1M, 100M, 0.01, 0.01, 0.00
camellia-256-ecb, 1M, 100M, 0.00, 0.00, 0.00
cast, 1M, 100M, 0.01, 0.00, 0.00
cast-cbc, 1M, 100M, 0.01, 0.00, 0.00
cast5-cbc, 1M, 100M, 0.01, 0.01, 0.00
cast5-cfb, 1M, 100M, 0.01, 0.01, 0.00
cast5-ecb, 1M, 100M, 0.01, 0.00, 0.00
cast5-ofb, 1M, 100M, 0.01, 0.00, 0.00
des, 1M, 100M, 0.02, 0.01, 0.00
des-cbc, 1M, 100M, 0.01, 0.01, 0.00
des-cfb, 1M, 100M, 0.01, 0.01, 0.00
des-ecb, 1M, 100M, 0.01, 0.01, 0.00
des-ede, 1M, 100M, 0.03, 0.03, 0.00
des-ede-cbc, 1M, 100M, 0.04, 0.03, 0.00
des-ede-cfb, 1M, 100M, 0.04, 0.03, 0.00
des-ede-ofb, 1M, 100M, 0.04, 0.03, 0.00
des-ede3, 1M, 100M, 0.03, 0.02, 0.00
des-ede3-cbc, 1M, 100M, 0.04, 0.02, 0.00
des-ede3-cfb, 1M, 100M, 0.04, 0.02, 0.01
des-ede3-ofb, 1M, 100M, 0.04, 0.03, 0.00
des-ofb, 1M, 100M, 0.01, 0.01, 0.00
des3, 1M, 100M, 0.04, 0.03, 0.00
desx, 1M, 100M, 0.01, 0.01, 0.00
rc2, 1M, 100M, 0.03, 0.02, 0.00
rc2-40-cbc, 1M, 100M, 0.02, 0.01, 0.00
rc2-64-cbc, 1M, 100M, 0.02, 0.01, 0.00
rc2-cbc, 1M, 100M, 0.02, 0.01, 0.00
rc2-cfb, 1M, 100M, 0.02, 0.02, 0.00
rc2-ecb, 1M, 100M, 0.02, 0.02, 0.00
rc2-ofb, 1M, 100M, 0.02, 0.02, 0.00
rc4, 1M, 100M, 0.00, 0.00, 0.00
rc4-40, 1M, 100M, 0.00, 0.00, 0.00
seed, 1M, 100M, 0.02, 0.00, 0.00
seed-cbc, 1M, 100M, 0.01, 0.00, 0.00
seed-cfb, 1M, 100M, 0.01, 0.00, 0.00
seed-ecb, 1M, 100M, 0.01, 0.01, 0.00
seed-ofb, 1M, 100M, 0.01, 0.00, 0.00
sm4-cbc, 1M, 100M, 0.01, 0.01, 0.00
sm4-cfb, 1M, 100M, 0.01, 0.01, 0.00
sm4-ctr, 1M, 100M, 0.01, 0.01, 0.00
sm4-ecb, 1M, 100M, 0.01, 0.00, 0.00
sm4-ofb, 1M, 100M, 0.01, 0.01, 0.00
aes-128-cbc, 10M, 1b, 0.03, 0.01, 0.00
aes-128-ecb, 10M, 1b, 0.02, 0.00, 0.01
aes-192-cbc, 10M, 1b, 0.03, 0.01, 0.00
aes-192-ecb, 10M, 1b, 0.02, 0.00, 0.01
aes-256-cbc, 10M, 1b, 0.03, 0.00, 0.02
aes-256-ecb, 10M, 1b, 0.02, 0.00, 0.01
aria-128-cbc, 10M, 1b, 0.08, 0.06, 0.01
aria-128-cfb, 10M, 1b, 0.08, 0.06, 0.01
aria-128-cfb1, 10M, 1b, 8.78, 8.72, 0.02
aria-128-cfb8, 10M, 1b, 0.99, 0.94, 0.02
aria-128-ctr, 10M, 1b, 0.09, 0.07, 0.01
aria-128-ecb, 10M, 1b, 0.09, 0.08, 0.00
aria-128-ofb, 10M, 1b, 0.09, 0.07, 0.00
aria-192-cbc, 10M, 1b, 0.10, 0.06, 0.02
aria-192-cfb, 10M, 1b, 0.10, 0.07, 0.01
aria-192-cfb1, 10M, 1b, 9.99, 9.91, 0.02
aria-192-cfb8, 10M, 1b, 1.14, 1.10, 0.01
aria-192-ctr, 10M, 1b, 0.11, 0.07, 0.01
aria-192-ecb, 10M, 1b, 0.09, 0.07, 0.01
aria-192-ofb, 10M, 1b, 0.10, 0.07, 0.01
aria-256-cbc, 10M, 1b, 0.12, 0.09, 0.01
aria-256-cfb, 10M, 1b, 0.12, 0.09, 0.01
aria-256-cfb1, 10M, 1b, 11.23, 11.13, 0.03
aria-256-cfb8, 10M, 1b, 1.27, 1.23, 0.01
aria-256-ctr, 10M, 1b, 0.12, 0.08, 0.00
aria-256-ecb, 10M, 1b, 0.12, 0.09, 0.00
aria-256-ofb, 10M, 1b, 0.10, 0.07, 0.01
base64, 10M, 1b, 0.03, 0.01, 0.01
bf, 10M, 1b, 0.09, 0.05, 0.02
bf-cbc, 10M, 1b, 0.10, 0.07, 0.01
bf-cfb, 10M, 1b, 0.10, 0.07, 0.01
bf-ecb, 10M, 1b, 0.08, 0.04, 0.03
bf-ofb, 10M, 1b, 0.09, 0.06, 0.01
camellia-128-cbc, 10M, 1b, 0.07, 0.03, 0.02
camellia-128-ecb, 10M, 1b, 0.07, 0.03, 0.02
camellia-192-cbc, 10M, 1b, 0.09, 0.05, 0.02
camellia-192-ecb, 10M, 1b, 0.09, 0.05, 0.01
camellia-256-cbc, 10M, 1b, 0.08, 0.06, 0.00
camellia-256-ecb, 10M, 1b, 0.08, 0.06, 0.00
cast, 10M, 1b, 0.09, 0.06, 0.01
cast-cbc, 10M, 1b, 0.10, 0.05, 0.03
cast5-cbc, 10M, 1b, 0.09, 0.07, 0.00
cast5-cfb, 10M, 1b, 0.12, 0.09, 0.01
cast5-ecb, 10M, 1b, 0.09, 0.06, 0.01
cast5-ofb, 10M, 1b, 0.09, 0.07, 0.00
des, 10M, 1b, 0.14, 0.12, 0.00
des-cbc, 10M, 1b, 0.13, 0.10, 0.02
des-cfb, 10M, 1b, 0.16, 0.14, 0.00
des-ecb, 10M, 1b, 0.13, 0.09, 0.02
des-ede, 10M, 1b, 0.31, 0.28, 0.01
des-ede-cbc, 10M, 1b, 0.33, 0.30, 0.00
des-ede-cfb, 10M, 1b, 0.34, 0.31, 0.01
des-ede-ofb, 10M, 1b, 0.32, 0.30, 0.00
des-ede3, 10M, 1b, 0.33, 0.30, 0.00
des-ede3-cbc, 10M, 1b, 0.32, 0.29, 0.01
des-ede3-cfb, 10M, 1b, 0.33, 0.30, 0.01
des-ede3-ofb, 10M, 1b, 0.31, 0.29, 0.00
des-ofb, 10M, 1b, 0.14, 0.12, 0.00
des3, 10M, 1b, 0.31, 0.29, 0.01
desx, 10M, 1b, 0.13, 0.11, 0.00
rc2, 10M, 1b, 0.20, 0.17, 0.00
rc2-40-cbc, 10M, 1b, 0.20, 0.18, 0.00
rc2-64-cbc, 10M, 1b, 0.19, 0.15, 0.02
rc2-cbc, 10M, 1b, 0.20, 0.16, 0.02
rc2-cfb, 10M, 1b, 0.20, 0.17, 0.01
rc2-ecb, 10M, 1b, 0.19, 0.17, 0.00
rc2-ofb, 10M, 1b, 0.18, 0.15, 0.02
rc4, 10M, 1b, 0.04, 0.00, 0.02
rc4-40, 10M, 1b, 0.03, 0.02, 0.00
seed, 10M, 1b, 0.11, 0.07, 0.02
seed-cbc, 10M, 1b, 0.12, 0.09, 0.00
seed-cfb, 10M, 1b, 0.12, 0.10, 0.00
seed-ecb, 10M, 1b, 0.12, 0.08, 0.02
seed-ofb, 10M, 1b, 0.11, 0.08, 0.01
sm4-cbc, 10M, 1b, 0.10, 0.07, 0.01
sm4-cfb, 10M, 1b, 0.10, 0.06, 0.02
sm4-ctr, 10M, 1b, 0.10, 0.07, 0.01
sm4-ecb, 10M, 1b, 0.10, 0.06, 0.02
sm4-ofb, 10M, 1b, 0.11, 0.07, 0.01
aes-128-cbc, 10M, 1K, 0.03, 0.01, 0.00
aes-128-ecb, 10M, 1K, 0.02, 0.00, 0.01
aes-192-cbc, 10M, 1K, 0.03, 0.00, 0.02
aes-192-ecb, 10M, 1K, 0.02, 0.00, 0.00
aes-256-cbc, 10M, 1K, 0.03, 0.01, 0.01
aes-256-ecb, 10M, 1K, 0.02, 0.00, 0.01
aria-128-cbc, 10M, 1K, 0.08, 0.06, 0.01
aria-128-cfb, 10M, 1K, 0.09, 0.06, 0.01
aria-128-cfb1, 10M, 1K, 8.82, 8.74, 0.04
aria-128-cfb8, 10M, 1K, 0.99, 0.95, 0.01
aria-128-ctr, 10M, 1K, 0.09, 0.06, 0.01
aria-128-ecb, 10M, 1K, 0.09, 0.05, 0.01
aria-128-ofb, 10M, 1K, 0.08, 0.06, 0.00
aria-192-cbc, 10M, 1K, 0.10, 0.07, 0.01
aria-192-cfb, 10M, 1K, 0.11, 0.07, 0.02
aria-192-cfb1, 10M, 1K, 10.10, 10.00, 0.03
aria-192-cfb8, 10M, 1K, 1.14, 1.10, 0.02
aria-192-ctr, 10M, 1K, 0.11, 0.07, 0.01
aria-192-ecb, 10M, 1K, 0.09, 0.06, 0.02
aria-192-ofb, 10M, 1K, 0.10, 0.04, 0.03
aria-256-cbc, 10M, 1K, 0.11, 0.09, 0.00
aria-256-cfb, 10M, 1K, 0.11, 0.07, 0.01
aria-256-cfb1, 10M, 1K, 11.23, 11.14, 0.04
aria-256-cfb8, 10M, 1K, 1.31, 1.26, 0.02
aria-256-ctr, 10M, 1K, 0.11, 0.06, 0.03
aria-256-ecb, 10M, 1K, 0.11, 0.08, 0.01
aria-256-ofb, 10M, 1K, 0.11, 0.07, 0.02
base64, 10M, 1K, 0.04, 0.00, 0.02
bf, 10M, 1K, 0.09, 0.07, 0.01
bf-cbc, 10M, 1K, 0.08, 0.07, 0.00
bf-cfb, 10M, 1K, 0.10, 0.07, 0.01
bf-ecb, 10M, 1K, 0.08, 0.04, 0.02
bf-ofb, 10M, 1K, 0.09, 0.06, 0.01
camellia-128-cbc, 10M, 1K, 0.08, 0.04, 0.02
camellia-128-ecb, 10M, 1K, 0.08, 0.05, 0.01
camellia-192-cbc, 10M, 1K, 0.10, 0.06, 0.02
camellia-192-ecb, 10M, 1K, 0.09, 0.06, 0.02
camellia-256-cbc, 10M, 1K, 0.08, 0.05, 0.02
camellia-256-ecb, 10M, 1K, 0.09, 0.06, 0.01
cast, 10M, 1K, 0.10, 0.06, 0.02
cast-cbc, 10M, 1K, 0.10, 0.06, 0.02
cast5-cbc, 10M, 1K, 0.10, 0.06, 0.02
cast5-cfb, 10M, 1K, 0.13, 0.09, 0.02
cast5-ecb, 10M, 1K, 0.10, 0.07, 0.00
cast5-ofb, 10M, 1K, 0.10, 0.08, 0.00
des, 10M, 1K, 0.14, 0.11, 0.01
des-cbc, 10M, 1K, 0.14, 0.10, 0.02
des-cfb, 10M, 1K, 0.16, 0.12, 0.02
des-ecb, 10M, 1K, 0.14, 0.10, 0.02
des-ede, 10M, 1K, 0.33, 0.28, 0.02
des-ede-cbc, 10M, 1K, 0.33, 0.30, 0.01
des-ede-cfb, 10M, 1K, 0.34, 0.32, 0.00
des-ede-ofb, 10M, 1K, 0.32, 0.29, 0.01
des-ede3, 10M, 1K, 0.33, 0.30, 0.01
des-ede3-cbc, 10M, 1K, 0.34, 0.29, 0.02
des-ede3-cfb, 10M, 1K, 0.33, 0.28, 0.03
des-ede3-ofb, 10M, 1K, 0.33, 0.29, 0.01
des-ofb, 10M, 1K, 0.13, 0.12, 0.00
des3, 10M, 1K, 0.33, 0.29, 0.01
desx, 10M, 1K, 0.14, 0.10, 0.02
rc2, 10M, 1K, 0.19, 0.13, 0.04
rc2-40-cbc, 10M, 1K, 0.19, 0.16, 0.02
rc2-64-cbc, 10M, 1K, 0.20, 0.16, 0.02
rc2-cbc, 10M, 1K, 0.23, 0.19, 0.02
rc2-cfb, 10M, 1K, 0.22, 0.19, 0.01
rc2-ecb, 10M, 1K, 0.19, 0.17, 0.00
rc2-ofb, 10M, 1K, 0.19, 0.16, 0.00
rc4, 10M, 1K, 0.03, 0.01, 0.01
rc4-40, 10M, 1K, 0.03, 0.01, 0.01
seed, 10M, 1K, 0.11, 0.09, 0.00
seed-cbc, 10M, 1K, 0.12, 0.08, 0.02
seed-cfb, 10M, 1K, 0.11, 0.10, 0.00
seed-ecb, 10M, 1K, 0.11, 0.09, 0.00
seed-ofb, 10M, 1K, 0.11, 0.08, 0.01
sm4-cbc, 10M, 1K, 0.10, 0.07, 0.01
sm4-cfb, 10M, 1K, 0.10, 0.07, 0.00
sm4-ctr, 10M, 1K, 0.10, 0.07, 0.01
sm4-ecb, 10M, 1K, 0.09, 0.07, 0.00
sm4-ofb, 10M, 1K, 0.09, 0.06, 0.01
aes-128-cbc, 10M, 1M, 0.03, 0.01, 0.01
aes-128-ecb, 10M, 1M, 0.02, 0.00, 0.01
aes-192-cbc, 10M, 1M, 0.03, 0.00, 0.02
aes-192-ecb, 10M, 1M, 0.02, 0.00, 0.01
aes-256-cbc, 10M, 1M, 0.03, 0.00, 0.01
aes-256-ecb, 10M, 1M, 0.02, 0.01, 0.00
aria-128-cbc, 10M, 1M, 0.09, 0.05, 0.01
aria-128-cfb, 10M, 1M, 0.08, 0.06, 0.01
aria-128-cfb1, 10M, 1M, 9.12, 8.85, 0.04
aria-128-cfb8, 10M, 1M, 1.00, 0.96, 0.00
aria-128-ctr, 10M, 1M, 0.10, 0.05, 0.02
aria-128-ecb, 10M, 1M, 0.09, 0.06, 0.01
aria-128-ofb, 10M, 1M, 0.09, 0.06, 0.01
